experiment_id,system,backbone,seed,config,dataset,status,validation_metric,internal_test_macro_f1,external_hiba_macro_f1,checkpoint_sha256,metrics_path,predictions_path,notes
paper_flat_densenet121,Flat,densenet121,42,configs/paper/flat/densenet121.yaml,isic2019,COMPLETED_LOCKED,0.6449820791,0.6351074532,0.5866495382,NA,results/paper/internal_isic/gate06d/densenet121/metrics_and_statistics.json,results/paper/internal_isic/gate06d/densenet121/paired_internal_test_predictions.csv,Gate 06D and Gate 06F final evidence
paper_flat_densenet169,Flat,densenet169,42,configs/paper/flat/densenet169.yaml,isic2019,COMPLETED_LOCKED,0.6659647727,0.6493306153,0.6333103424,NA,results/paper/internal_isic/gate06d/densenet169/metrics_and_statistics.json,results/paper/internal_isic/gate06d/densenet169/paired_internal_test_predictions.csv,Gate 06D and Gate 06F final evidence
paper_flat_resnet50,Flat,resnet50,42,configs/paper/flat/resnet50.yaml,isic2019,COMPLETED_LOCKED,0.6533194436,0.6409889384,0.5925211874,NA,results/paper/internal_isic/gate06d/resnet50/metrics_and_statistics.json,results/paper/internal_isic/gate06d/resnet50/paired_internal_test_predictions.csv,Gate 06D and Gate 06F final evidence
paper_flat_mobilenet_v3_large,Flat,mobilenet_v3_large,42,configs/paper/flat/mobilenet_v3_large.yaml,isic2019,COMPLETED_LOCKED,0.6582407229,0.6190037487,0.6342622050,NA,results/paper/internal_isic/gate06d/mobilenet_v3_large/metrics_and_statistics.json,results/paper/internal_isic/gate06d/mobilenet_v3_large/paired_internal_test_predictions.csv,Gate 06D and Gate 06F final evidence
paper_flat_efficientnet_b0,Flat,efficientnet_b0,42,configs/paper/flat/efficientnet_b0.yaml,isic2019,COMPLETED_LOCKED,0.6535716654,0.6192224685,0.6345457517,NA,results/paper/internal_isic/gate06d/efficientnet_b0/metrics_and_statistics.json,results/paper/internal_isic/gate06d/efficientnet_b0/paired_internal_test_predictions.csv,Gate 06D and Gate 06F final evidence
paper_flat_efficientnet_b2,Flat,efficientnet_b2,42,configs/paper/flat/efficientnet_b2.yaml,isic2019,COMPLETED_LOCKED,0.6544148913,0.6199513648,0.6316381685,NA,results/paper/internal_isic/gate06d/efficientnet_b2/metrics_and_statistics.json,results/paper/internal_isic/gate06d/efficientnet_b2/paired_internal_test_predictions.csv,Gate 06D and Gate 06F final evidence
paper_flat_efficientnet_b3,Flat,efficientnet_b3,42,configs/paper/flat/efficientnet_b3.yaml,isic2019,COMPLETED_LOCKED,0.6583008001,0.6260395713,0.6528851447,NA,results/paper/internal_isic/gate06d/efficientnet_b3/metrics_and_statistics.json,results/paper/internal_isic/gate06d/efficientnet_b3/paired_internal_test_predictions.csv,Gate 06D and Gate 06F final evidence
paper_shared_hard_densenet121,Shared-Hard,densenet121,42,configs/paper/shared_hard/shared_three_task.yaml,isic2019,COMPLETED_LOCKED,0.641922,0.5608782809,0.5530027342,NA,results/paper/internal_isic/gate06d/densenet121/metrics_and_statistics.json,results/paper/internal_isic/gate06d/densenet121/paired_internal_test_predictions.csv,Validation selection mean from Gate 06C; predicted and oracle routing in Gate 06D
paper_shared_hard_densenet169,Shared-Hard,densenet169,42,configs/paper/shared_hard/shared_three_task.yaml,isic2019,COMPLETED_LOCKED,0.596426,0.5426556843,0.5278260279,NA,results/paper/internal_isic/gate06d/densenet169/metrics_and_statistics.json,results/paper/internal_isic/gate06d/densenet169/paired_internal_test_predictions.csv,Validation selection mean from Gate 06C; predicted and oracle routing in Gate 06D
paper_shared_hard_resnet50,Shared-Hard,resnet50,42,configs/paper/shared_hard/shared_three_task.yaml,isic2019,COMPLETED_LOCKED,0.620955,0.5469983104,0.4764447447,NA,results/paper/internal_isic/gate06d/resnet50/metrics_and_statistics.json,results/paper/internal_isic/gate06d/resnet50/paired_internal_test_predictions.csv,Validation selection mean from Gate 06C; predicted and oracle routing in Gate 06D
paper_shared_hard_mobilenet_v3_large,Shared-Hard,mobilenet_v3_large,42,configs/paper/shared_hard/shared_three_task.yaml,isic2019,COMPLETED_LOCKED,0.647898,0.6369717768,0.6170922141,NA,results/paper/internal_isic/gate06d/mobilenet_v3_large/metrics_and_statistics.json,results/paper/internal_isic/gate06d/mobilenet_v3_large/paired_internal_test_predictions.csv,Validation selection mean from Gate 06C; predicted and oracle routing in Gate 06D
paper_shared_hard_efficientnet_b0,Shared-Hard,efficientnet_b0,42,configs/paper/shared_hard/shared_three_task.yaml,isic2019,COMPLETED_LOCKED,0.632618,0.5685909457,0.5983434785,NA,results/paper/internal_isic/gate06d/efficientnet_b0/metrics_and_statistics.json,results/paper/internal_isic/gate06d/efficientnet_b0/paired_internal_test_predictions.csv,Validation selection mean from Gate 06C; predicted and oracle routing in Gate 06D
paper_shared_hard_efficientnet_b2,Shared-Hard,efficientnet_b2,42,configs/paper/shared_hard/shared_three_task.yaml,isic2019,COMPLETED_LOCKED,0.628510,0.5807988438,0.5395161255,NA,results/paper/internal_isic/gate06d/efficientnet_b2/metrics_and_statistics.json,results/paper/internal_isic/gate06d/efficientnet_b2/paired_internal_test_predictions.csv,Validation selection mean from Gate 06C; predicted and oracle routing in Gate 06D
paper_shared_hard_efficientnet_b3,Shared-Hard,efficientnet_b3,42,configs/paper/shared_hard/shared_three_task.yaml,isic2019,COMPLETED_LOCKED,0.670986,0.5943860898,0.5948815803,NA,results/paper/internal_isic/gate06d/efficientnet_b3/metrics_and_statistics.json,results/paper/internal_isic/gate06d/efficientnet_b3/paired_internal_test_predictions.csv,Validation selection mean from Gate 06C; predicted and oracle routing in Gate 06D
