level,label,split,count,eligible_total,observed_ratio,target_ratio,ratio_error
diagnosis_original,AK,train,607,867,0.70011534,0.70000000,0.00011534
diagnosis_original,AK,validation,130,867,0.14994233,0.15000000,-0.00005767
diagnosis_original,AK,test,130,867,0.14994233,0.15000000,-0.00005767
diagnosis_original,AK,excluded,0,867,,,
diagnosis_original,BCC,train,2327,3323,0.70027084,0.70000000,0.00027084
diagnosis_original,BCC,validation,498,3323,0.14986458,0.15000000,-0.00013542
diagnosis_original,BCC,test,498,3323,0.14986458,0.15000000,-0.00013542
diagnosis_original,BCC,excluded,0,3323,,,
diagnosis_original,BKL,train,1838,2624,0.70045732,0.70000000,0.00045732
diagnosis_original,BKL,validation,393,2624,0.14977134,0.15000000,-0.00022866
diagnosis_original,BKL,test,393,2624,0.14977134,0.15000000,-0.00022866
diagnosis_original,BKL,excluded,0,2624,,,
diagnosis_original,DF,train,167,239,0.69874477,0.70000000,-0.00125523
diagnosis_original,DF,validation,36,239,0.15062762,0.15000000,0.00062762
diagnosis_original,DF,test,36,239,0.15062762,0.15000000,0.00062762
diagnosis_original,DF,excluded,0,239,,,
diagnosis_original,MEL,train,3164,4520,0.70000000,0.70000000,0.00000000
diagnosis_original,MEL,validation,678,4520,0.15000000,0.15000000,0.00000000
diagnosis_original,MEL,test,678,4520,0.15000000,0.15000000,0.00000000
diagnosis_original,MEL,excluded,2,4520,,,
diagnosis_original,NV,train,9011,12873,0.69999223,0.70000000,-0.00000777
diagnosis_original,NV,validation,1931,12873,0.15000388,0.15000000,0.00000388
diagnosis_original,NV,test,1931,12873,0.15000388,0.15000000,0.00000388
diagnosis_original,NV,excluded,2,12873,,,
diagnosis_original,SCC,train,440,628,0.70063694,0.70000000,0.00063694
diagnosis_original,SCC,validation,94,628,0.14968153,0.15000000,-0.00031847
diagnosis_original,SCC,test,94,628,0.14968153,0.15000000,-0.00031847
diagnosis_original,SCC,excluded,0,628,,,
diagnosis_original,VASC,train,177,253,0.69960474,0.70000000,-0.00039526
diagnosis_original,VASC,validation,38,253,0.15019763,0.15000000,0.00019763
diagnosis_original,VASC,test,38,253,0.15019763,0.15000000,0.00019763
diagnosis_original,VASC,excluded,0,253,,,
stage_1_label,malignant,train,5931,8471,0.70015346,0.70000000,0.00015346
stage_1_label,malignant,validation,1270,8471,0.14992327,0.15000000,-0.00007673
stage_1_label,malignant,test,1270,8471,0.14992327,0.15000000,-0.00007673
stage_1_label,malignant,excluded,2,8471,,,
stage_1_label,non_malignant,train,11193,15989,0.70004378,0.70000000,0.00004378
stage_1_label,non_malignant,validation,2398,15989,0.14997811,0.15000000,-0.00002189
stage_1_label,non_malignant,test,2398,15989,0.14997811,0.15000000,-0.00002189
stage_1_label,non_malignant,excluded,2,15989,,,
stage_2_label,bcc,train,2327,3323,0.70027084,0.70000000,0.00027084
stage_2_label,bcc,validation,498,3323,0.14986458,0.15000000,-0.00013542
stage_2_label,bcc,test,498,3323,0.14986458,0.15000000,-0.00013542
stage_2_label,bcc,excluded,0,3323,,,
stage_2_label,melanoma,train,3164,4520,0.70000000,0.70000000,0.00000000
stage_2_label,melanoma,validation,678,4520,0.15000000,0.15000000,0.00000000
stage_2_label,melanoma,test,678,4520,0.15000000,0.15000000,0.00000000
stage_2_label,melanoma,excluded,2,4520,,,
stage_2_label,scc,train,440,628,0.70063694,0.70000000,0.00063694
stage_2_label,scc,validation,94,628,0.14968153,0.15000000,-0.00031847
stage_2_label,scc,test,94,628,0.14968153,0.15000000,-0.00031847
stage_2_label,scc,excluded,0,628,,,
