estimand,point_estimate,lower,upper,confidence_level,replicate_count,seed,ci_method,direction
flat_accuracy,0.74209378407851689,0.7284623773173392,0.75572519083969469,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
hierarchical_accuracy,0.74018538713195203,0.72628135223555068,0.75408942202835327,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
difference_accuracy,0.0019083969465648609,-0.01199563794983638,0.015812431842966213,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,flat_minus_hierarchical
flat_balanced_accuracy,0.6503125394090663,0.6239526459987611,0.67854024061381224,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
hierarchical_balanced_accuracy,0.63119892388779841,0.60328539159302919,0.65920479684055311,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
difference_balanced_accuracy,0.01911361552126789,-0.010863551762141039,0.049639489722146393,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,flat_minus_hierarchical
flat_macro_f1,0.61922246851689733,0.59198250449048884,0.64658057413189574,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
hierarchical_macro_f1,0.60536740055610194,0.58103355668601531,0.62927517968697289,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
difference_macro_f1,0.013855067960795386,-0.014254648833517809,0.041963376013179184,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,flat_minus_hierarchical
flat_f1_non_malignant,0.8218298555377207,0.80987540378403311,0.83367372416362107,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
flat_f1_melanoma,0.60942158616577224,0.58614564831261096,0.63221153846153844,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
flat_f1_bcc,0.68849557522123894,0.66082228617074046,0.71628783644470928,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
flat_f1_scc,0.35714285714285715,0.26506024096385544,0.44848484848484854,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
hierarchical_f1_non_malignant,0.82662538699690402,0.81530922746217094,0.837951673686544,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
hierarchical_f1_melanoma,0.5783885071830106,0.55353730851426219,0.6038454746504941,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
hierarchical_f1_bcc,0.69869869869869872,0.6680497925311204,0.72854326664531688,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
hierarchical_f1_scc,0.31775700934579437,0.24074074074074073,0.39301683275482402,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,model_specific
difference_f1_non_malignant,-0.004795531459183322,-0.016624934377855383,0.0069724991290407009,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,flat_minus_hierarchical
difference_f1_melanoma,0.031033078982761642,0.0070322602542233492,0.055442210073996238,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,flat_minus_hierarchical
difference_f1_bcc,-0.010203123477459775,-0.038754278695887559,0.018757309526726232,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,flat_minus_hierarchical
difference_f1_scc,0.039385847797062778,-0.056379027147527114,0.13433410022516143,0.94999999999999996,10000,42,percentile_numpy_quantile_method_linear,flat_minus_hierarchical
