metric,value,unit,system,source_path,source_field,evidence_grade,evidence_type,hardware,batch_size,sample_count,timing_scope,data_loading,warm_up,precision_mode,software_environment,comparability,limitations
elapsed_evaluator_loop,30.6784900749999,seconds,flat,runs/backups/phase06c/phase06c_selected_flat_internal_test_550e7cdb1144.tar.gz::runs/phase06c/selected_flat_internal_test/locked_primary_evaluation/evaluation_summary.json,elapsed_seconds,A,direct locked measurement,NVIDIA Tesla T4 (stored environment label: Tesla T4),64,3668,"wall clock around dataloader loop; includes batch loading iteration, host-to-device transfer, forward work, softmax/CPU collection and metadata accumulation; excludes post-loop metrics and file writing",included within timed dataloader iteration,none documented,CUDA autocast float16 enabled,Python 3.12.3; torch 2.13.0+cu130; Linux Azure Tesla T4,comparable with limitations; no explicit CUDA synchronization or warm-up and different evaluator paths,Stored end-to-end evaluator-loop timing; no speed ratio authorized.
throughput_evaluator_loop,119.56259877956239,samples/second,flat,runs/backups/phase06c/phase06c_selected_flat_internal_test_550e7cdb1144.tar.gz::runs/phase06c/selected_flat_internal_test/locked_primary_evaluation/evaluation_summary.json,samples_per_second,A,direct locked measurement,NVIDIA Tesla T4 (stored environment label: Tesla T4),64,3668,"wall clock around dataloader loop; includes batch loading iteration, host-to-device transfer, forward work, softmax/CPU collection and metadata accumulation; excludes post-loop metrics and file writing",included within timed dataloader iteration,none documented,CUDA autocast float16 enabled,Python 3.12.3; torch 2.13.0+cu130; Linux Azure Tesla T4,comparable with limitations; no explicit CUDA synchronization or warm-up and different evaluator paths,Stored end-to-end evaluator-loop timing; no speed ratio authorized.
mean_evaluator_loop_time_per_sample,8.363819540621565,milliseconds/sample,flat,runs/backups/phase06c/phase06c_selected_flat_internal_test_550e7cdb1144.tar.gz::runs/phase06c/selected_flat_internal_test/locked_primary_evaluation/evaluation_summary.json,elapsed_seconds / sample_count * 1000,B,deterministic derivation,NVIDIA Tesla T4 (stored environment label: Tesla T4),64,3668,"wall clock around dataloader loop; includes batch loading iteration, host-to-device transfer, forward work, softmax/CPU collection and metadata accumulation; excludes post-loop metrics and file writing",included within timed dataloader iteration,none documented,CUDA autocast float16 enabled,Python 3.12.3; torch 2.13.0+cu130; Linux Azure Tesla T4,comparable with limitations; no explicit CUDA synchronization or warm-up and different evaluator paths,Stored end-to-end evaluator-loop timing; no speed ratio authorized.
elapsed_evaluator_loop,39.84738709799967,seconds,hierarchical,runs/phase05_hierarchical_internal_test/locked_primary_evaluation/evaluation_summary.json,elapsed_seconds,A,direct locked measurement,NVIDIA Tesla T4 (stored environment label: Tesla T4),64,3668,"wall clock around dataloader loop; includes batch loading iteration, host-to-device transfer, forward work, softmax/CPU collection and metadata accumulation; excludes post-loop metrics and file writing",included within timed dataloader iteration,none documented,CUDA autocast float16 enabled,Python 3.12.3; torch 2.13.0+cu130; Linux Azure Tesla T4,comparable with limitations; no explicit CUDA synchronization or warm-up and different evaluator paths,Stored end-to-end evaluator-loop timing; no speed ratio authorized.
throughput_evaluator_loop,92.0512050383382,samples/second,hierarchical,runs/phase05_hierarchical_internal_test/locked_primary_evaluation/evaluation_summary.json,samples_per_second,A,direct locked measurement,NVIDIA Tesla T4 (stored environment label: Tesla T4),64,3668,"wall clock around dataloader loop; includes batch loading iteration, host-to-device transfer, forward work, softmax/CPU collection and metadata accumulation; excludes post-loop metrics and file writing",included within timed dataloader iteration,none documented,CUDA autocast float16 enabled,Python 3.12.3; torch 2.13.0+cu130; Linux Azure Tesla T4,comparable with limitations; no explicit CUDA synchronization or warm-up and different evaluator paths,Stored end-to-end evaluator-loop timing; no speed ratio authorized.
mean_evaluator_loop_time_per_sample,10.863518838058798,milliseconds/sample,hierarchical,runs/phase05_hierarchical_internal_test/locked_primary_evaluation/evaluation_summary.json,elapsed_seconds / sample_count * 1000,B,deterministic derivation,NVIDIA Tesla T4 (stored environment label: Tesla T4),64,3668,"wall clock around dataloader loop; includes batch loading iteration, host-to-device transfer, forward work, softmax/CPU collection and metadata accumulation; excludes post-loop metrics and file writing",included within timed dataloader iteration,none documented,CUDA autocast float16 enabled,Python 3.12.3; torch 2.13.0+cu130; Linux Azure Tesla T4,comparable with limitations; no explicit CUDA synchronization or warm-up and different evaluator paths,Stored end-to-end evaluator-loop timing; no speed ratio authorized.
stage2_invocation_count,1799,samples,hierarchical,reports/phase07/generated/gate04_evidence_review.json,routing audit,A,direct committed routing count,not applicable,not applicable,3668,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,none
stage2_invocation_rate,0.4904580152671756,fraction,hierarchical,reports/phase07/generated/gate04_evidence_review.json,1799 / 3668,B,deterministic derivation,not applicable,not applicable,3668,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,none
stage2_bypass_rate,0.5095419847328244,fraction,hierarchical,reports/phase07/generated/gate04_evidence_review.json,1869 / 3668,B,deterministic derivation,not applicable,not applicable,3668,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,none
average_forward_passes_per_input,1.4904580152671756,model passes/input,hierarchical,reports/phase07/generated/gate04_evidence_review.json,1 + 1799 / 3668,B,deterministic derivation,not applicable,not applicable,3668,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,Not FLOPs or measured latency.
parameter_elements,4012672,tensor elements,flat,runs/phase06_full/full__phase06_flat_four_class_isic2019_efficientnet_b0_cross_entropy_seed42__20260726T232308Z/best_checkpoint.pt,model_state_dict excluding standard BatchNorm buffers,C,static artifact measurement,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,Parameter count from state dictionary; no model instantiated.
checkpoint_size,48640921,bytes,flat,runs/phase06_full/full__phase06_flat_four_class_isic2019_efficientnet_b0_cross_entropy_seed42__20260726T232308Z/best_checkpoint.pt,filesystem size,C,static artifact measurement,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,"Contains training state; not RAM, VRAM or deployment binary size."
parameter_elements,4010110,tensor elements,stage1,runs/phase03_full/full__stage01_isic2019_efficientnet_b0_cross_entropy_seed42__20260724T190600Z/best_checkpoint.pt,model_state_dict excluding standard BatchNorm buffers,C,static artifact measurement,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,Parameter count from state dictionary; no model instantiated.
checkpoint_size,48609369,bytes,stage1,runs/phase03_full/full__stage01_isic2019_efficientnet_b0_cross_entropy_seed42__20260724T190600Z/best_checkpoint.pt,filesystem size,C,static artifact measurement,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,"Contains training state; not RAM, VRAM or deployment binary size."
