model,metric,class,value
flat,accuracy,overall,0.74209378407851689
flat,balanced_accuracy,overall,0.6503125394090663
flat,macro_f1,overall,0.61922246851689733
flat,weighted_f1,overall,0.75255672138262086
flat,precision,non_malignant,0.91288843606724401
flat,recall,non_malignant,0.74728940783986653
flat,f1,non_malignant,0.8218298555377207
flat,support,non_malignant,2398
flat,precision,melanoma,0.51151151151151153
flat,recall,melanoma,0.75368731563421831
flat,f1,melanoma,0.60942158616577224
flat,support,melanoma,678
flat,precision,bcc,0.615506329113924
flat,recall,bcc,0.78112449799196793
flat,f1,bcc,0.68849557522123894
flat,support,bcc,498
flat,precision,scc,0.40540540540540543
flat,recall,scc,0.31914893617021278
flat,f1,scc,0.35714285714285715
flat,support,scc,94
hierarchical,accuracy,overall,0.74018538713195203
hierarchical,balanced_accuracy,overall,0.63119892388779841
hierarchical,macro_f1,overall,0.60536740055610194
hierarchical,weighted_f1,overall,0.75033156944359691
hierarchical,precision,non_malignant,0.87994350282485878
hierarchical,recall,non_malignant,0.77939949958298582
hierarchical,f1,non_malignant,0.82662538699690402
hierarchical,support,non_malignant,2398
hierarchical,precision,melanoma,0.50162513542795228
hierarchical,recall,melanoma,0.68289085545722716
hierarchical,f1,melanoma,0.5783885071830106
hierarchical,support,melanoma,678
hierarchical,precision,bcc,0.69660678642714569
hierarchical,recall,bcc,0.70080321285140568
hierarchical,f1,bcc,0.69869869869869872
hierarchical,support,bcc,498
hierarchical,precision,scc,0.28333333333333333
hierarchical,recall,scc,0.36170212765957449
hierarchical,f1,scc,0.31775700934579437
hierarchical,support,scc,94
