cohort,max_vote_count,agreement_fraction,count,fraction_of_cohort,majority_accuracy,majority_error_rate,weighted_accuracy,weighted_error_rate,true_non_malignant_count,true_melanoma_count,true_bcc_count,true_scc_count
ISIC internal test,7,1.0,1902,0.5185387131952017,0.9316508937960042,0.0683491062039958,0.9316508937960042,0.0683491062039958,1303,333,247,19
ISIC internal test,6,0.8571428571428571,684,0.1864776444929116,0.804093567251462,0.195906432748538,0.804093567251462,0.195906432748538,432,119,118,15
ISIC internal test,5,0.7142857142857143,526,0.1434023991275899,0.6368821292775665,0.3631178707224334,0.6368821292775665,0.3631178707224334,328,118,60,20
ISIC internal test,4,0.5714285714285714,466,0.1270447110141766,0.5300429184549357,0.4699570815450644,0.5300429184549357,0.4699570815450644,294,96,53,23
ISIC internal test,3,0.4285714285714285,84,0.0229007633587786,0.3928571428571428,0.6071428571428571,0.3928571428571428,0.6071428571428571,40,12,18,14
ISIC internal test,2,0.2857142857142857,6,0.0016357688113413,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.8333333333333334,1,0,2,3
HIBA external,7,1.0,761,0.6176948051948052,0.9250985545335084,0.0749014454664914,0.9250985545335084,0.0749014454664914,594,83,63,21
HIBA external,6,0.8571428571428571,148,0.1201298701298701,0.6891891891891891,0.3108108108108108,0.6891891891891891,0.3108108108108108,49,45,35,19
HIBA external,5,0.7142857142857143,135,0.109577922077922,0.5925925925925926,0.4074074074074074,0.5925925925925926,0.4074074074074074,29,35,51,20
HIBA external,4,0.5714285714285714,140,0.1136363636363636,0.4785714285714286,0.5214285714285715,0.4785714285714286,0.5214285714285715,20,24,58,38
HIBA external,3,0.4285714285714285,45,0.036525974025974,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,4,8,21,12
HIBA external,2,0.2857142857142857,3,0.0024350649350649,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,1,1,1
