cohort,system,type,accuracy,balanced_accuracy,macro_f1,weighted_f1,malignant_sensitivity,scc_sensitivity,scc_f1
ISIC internal test,densenet121,individual,0.7914394765539804,0.6168282266253176,0.6351074531606824,0.7861623640231901,0.6929133858267716,0.2978723404255319,0.3435582822085889
ISIC internal test,densenet169,individual,0.7696292257360959,0.6532892120526906,0.6493306152858874,0.7744815161302143,0.7992125984251969,0.351063829787234,0.4177215189873418
ISIC internal test,resnet50,individual,0.7434569247546347,0.6579759578026286,0.6409889384221806,0.7519603686463626,0.7795275590551181,0.4574468085106383,0.4526315789473684
ISIC internal test,mobilenet_v3_large,individual,0.7540894220283533,0.6399992169925672,0.619003748680125,0.7615760182153551,0.8244094488188977,0.2978723404255319,0.327485380116959
ISIC internal test,efficientnet_b0,individual,0.7420937840785169,0.6503125394090663,0.6192224685168973,0.7525567213826209,0.8653543307086614,0.3191489361702128,0.3571428571428571
ISIC internal test,efficientnet_b2,individual,0.7480916030534351,0.6407523235236612,0.6199513647966493,0.7558287698569517,0.8236220472440945,0.2978723404255319,0.3435582822085889
ISIC internal test,efficientnet_b3,individual,0.7739912758996729,0.6290042301258529,0.6260395713433519,0.7772254978863951,0.8,0.2446808510638297,0.3129251700680272
ISIC internal test,majority_vote,primary_ensemble,0.8009814612868048,0.6840355659818975,0.6847936721483718,0.8039489122222689,0.8212598425196851,0.3723404255319149,0.4516129032258064
ISIC internal test,validation_weighted_vote,secondary_ensemble,0.8009814612868048,0.6840355659818975,0.6847936721483718,0.8039489122222689,0.8212598425196851,0.3723404255319149,0.4516129032258064
HIBA external,densenet121,individual,0.7410714285714286,0.5457673706068419,0.586649538202106,0.7119088044637668,0.5914179104477612,0.2432432432432432,0.339622641509434
HIBA external,densenet169,individual,0.762987012987013,0.5984562758775173,0.6333103423751594,0.7445123048624296,0.6809701492537313,0.3153153153153153,0.4142011834319526
HIBA external,resnet50,individual,0.734577922077922,0.5516899276915519,0.5925211874016479,0.7083514799342504,0.5783582089552238,0.3243243243243243,0.3956043956043956
HIBA external,mobilenet_v3_large,individual,0.7670454545454546,0.6117306663749755,0.6342622050287939,0.7523051244897226,0.7425373134328358,0.2792792792792792,0.3668639053254438
HIBA external,efficientnet_b0,individual,0.7686688311688312,0.615195280650139,0.6345457516967488,0.7555097408417503,0.7723880597014925,0.2792792792792792,0.3780487804878049
HIBA external,efficientnet_b2,individual,0.7589285714285714,0.6048412629661151,0.6316381685349395,0.7441353351628573,0.7126865671641791,0.3063063063063063,0.3953488372093023
HIBA external,efficientnet_b3,individual,0.7840909090909091,0.622810011733259,0.6528851446818551,0.7659690332597283,0.7332089552238806,0.2612612612612612,0.3972602739726027
HIBA external,majority_vote,primary_ensemble,0.7905844155844156,0.6234260157951189,0.662182651105471,0.7716148719309712,0.7052238805970149,0.3063063063063063,0.419753086419753
HIBA external,validation_weighted_vote,secondary_ensemble,0.7905844155844156,0.6234260157951189,0.662182651105471,0.7716148719309712,0.7052238805970149,0.3063063063063063,0.419753086419753
