target_label,flat_predicted_label,hierarchical_predicted_label,correctness_category,count
bcc,bcc,bcc,both_correct,326
bcc,bcc,melanoma,correct_only_flat,8
bcc,bcc,non_malignant,correct_only_flat,42
bcc,bcc,scc,correct_only_flat,13
bcc,melanoma,bcc,correct_only_hierarchy,11
bcc,melanoma,melanoma,both_wrong,44
bcc,melanoma,non_malignant,both_wrong,7
bcc,melanoma,scc,both_wrong,6
bcc,non_malignant,bcc,correct_only_hierarchy,6
bcc,non_malignant,melanoma,both_wrong,3
bcc,non_malignant,non_malignant,both_wrong,16
bcc,non_malignant,scc,both_wrong,2
bcc,scc,bcc,correct_only_hierarchy,6
bcc,scc,melanoma,both_wrong,5
bcc,scc,non_malignant,both_wrong,1
bcc,scc,scc,both_wrong,2
melanoma,bcc,bcc,both_wrong,8
melanoma,bcc,melanoma,correct_only_hierarchy,8
melanoma,bcc,non_malignant,both_wrong,11
melanoma,bcc,scc,both_wrong,3
melanoma,melanoma,bcc,correct_only_flat,8
melanoma,melanoma,melanoma,both_correct,421
melanoma,melanoma,non_malignant,correct_only_flat,70
melanoma,melanoma,scc,correct_only_flat,12
melanoma,non_malignant,bcc,both_wrong,2
melanoma,non_malignant,melanoma,correct_only_hierarchy,34
melanoma,non_malignant,non_malignant,both_wrong,96
melanoma,non_malignant,scc,both_wrong,3
melanoma,scc,scc,both_wrong,2
non_malignant,bcc,bcc,both_wrong,68
non_malignant,bcc,melanoma,both_wrong,22
non_malignant,bcc,non_malignant,correct_only_hierarchy,74
non_malignant,bcc,scc,both_wrong,6
non_malignant,melanoma,bcc,both_wrong,1
non_malignant,melanoma,melanoma,both_wrong,210
non_malignant,melanoma,non_malignant,correct_only_hierarchy,187
non_malignant,melanoma,scc,both_wrong,10
non_malignant,non_malignant,bcc,correct_only_flat,28
non_malignant,non_malignant,melanoma,correct_only_flat,149
non_malignant,non_malignant,non_malignant,both_correct,1603
non_malignant,non_malignant,scc,correct_only_flat,12
non_malignant,scc,bcc,both_wrong,4
non_malignant,scc,melanoma,both_wrong,4
non_malignant,scc,non_malignant,correct_only_hierarchy,5
non_malignant,scc,scc,both_wrong,15
scc,bcc,bcc,both_wrong,20
scc,bcc,melanoma,both_wrong,3
scc,bcc,non_malignant,both_wrong,6
scc,bcc,scc,correct_only_hierarchy,14
scc,melanoma,bcc,both_wrong,5
scc,melanoma,melanoma,both_wrong,6
scc,melanoma,non_malignant,both_wrong,1
scc,non_malignant,bcc,both_wrong,2
scc,non_malignant,melanoma,both_wrong,1
scc,non_malignant,non_malignant,both_wrong,4
scc,non_malignant,scc,correct_only_hierarchy,2
scc,scc,bcc,correct_only_flat,6
scc,scc,melanoma,correct_only_flat,5
scc,scc,non_malignant,correct_only_flat,1
scc,scc,scc,both_correct,18
